Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-05-08,0.007,0.043,0.046,0.612,98.188,35.875,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-09,0.005,0.044,0.024,0.571,98.188,30.458,175.77,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-10,0.003,0.025,0.035,0.454,39.625,17.083,59.62,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-11,0.005,0.044,0.034,0.617,66.875,31.458,90.87,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-12,0.006,0.047,0.036,0.717,72.625,44.417,133.16,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-13,0.004,0.03,0.042,0.533,45.292,24.333,72.49,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-14,0.004,0.02,0.044,0.346,48.333,10.5,68.33,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-15,0.004,0.029,0.031,0.408,37.25,8.167,57.25,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-16,0.005,0.033,0.03,0.45,31.083,12.917,54.38,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-17,0.005,0.037,0.034,0.529,32.542,16.083,61.14,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-18,0.006,0.043,0.045,0.588,42.083,25.208,74.75,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-19,0.006,0.036,0.048,0.508,42.167,23.792,71.1,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-20,0.007,0.033,0.045,0.45,32.958,18.833,62.63,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-21,0.004,0.024,0.042,0.371,26.375,15.208,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-22,0.004,0.03,0.036,0.438,38.25,24.708,73.46,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-23,0.004,0.032,0.02,0.446,32.667,19.375,59.7,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-24,0.003,0.025,0.031,0.404,22.417,12.083,51.0,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-25,0.004,0.029,0.037,0.446,32.292,10.417,55.98,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-26,0.003,0.02,0.037,0.358,20.083,6.0,55.98,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-27,0.004,0.029,0.043,0.425,28.208,11.542,60.97,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-28,0.005,0.027,0.055,0.462,39.375,20.25,70.93,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-29,0.007,0.034,0.061500000000000006,0.567,61.125,35.292,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-30,0.006,0.041,0.041,0.492,44.333,21.125,67.9,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-31,0.005,0.04,0.029,0.454,31.833,17.083,66.21,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-01,0.003,0.016,0.043,0.346,33.083,14.708,60.97,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-02,0.003,0.018,0.04,0.333,23.625,6.083,58.47,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-03,0.003,0.02,0.038,0.379,25.0,7.792,56.81,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-04,0.003,0.018,0.045,0.333,23.25,6.625,62.63,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-05,0.003,0.029,0.049,0.413,21.833,9.0,65.95,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-06,0.003,0.022,0.041,0.371,17.375,7.458,59.31,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-07,0.002,0.026,0.026,0.45,15.167,7.833,43.33,Good,101,Jongno-gu,37.5720164,127.0050075
2017-06-08,0.003,0.027,0.056,0.642,38.958,25.333,75.07,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-09,0.005,0.032,0.055,0.683,58.083,37.5,106.73,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-06-10,0.003,0.023,0.048,0.433,42.208,19.5,65.12,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-11,0.003,0.024,0.035,0.367,24.333,5.75,54.32,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-12,0.003,0.021,0.047,0.337,26.0,8.375,64.29,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-13,0.003,0.023,0.033,0.371,29.5,13.458,52.66,Moderate,101,Jongno-gu,37.5720164,127.0050075
